#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA5	FZD6	9606.ENSP00000376443	9606.ENSP00000351605	0	0	0	0	0	0	0	0.445	0.445
ABCB4	NPC1L1	9606.ENSP00000265723	9606.ENSP00000289547	0	0	0	0	0.062	0.131	0	0.485	0.543
ABCB4	NCOA2	9606.ENSP00000265723	9606.ENSP00000399968	0	0	0	0	0	0	0.900	0.049	0.900
ABCB4	TBL1XR1	9606.ENSP00000265723	9606.ENSP00000405574	0	0	0	0	0.062	0.058	0.900	0	0.903
ABCB4	MED1	9606.ENSP00000265723	9606.ENSP00000300651	0	0	0	0	0	0	0.900	0.072	0.903
ACBD5	GDAP1	9606.ENSP00000379568	9606.ENSP00000220822	0	0	0	0	0.062	0	0.900	0.393	0.938
ACBD5	PEX26	9606.ENSP00000379568	9606.ENSP00000331106	0	0	0	0	0	0	0.900	0.443	0.941
ACBD5	FAR1	9606.ENSP00000379568	9606.ENSP00000346874	0.073	0	0	0	0	0	0	0.477	0.494
ACBD5	VAPB	9606.ENSP00000379568	9606.ENSP00000417175	0	0	0	0	0.062	0.288	0	0.946	0.961
ACP5	COL1A1	9606.ENSP00000468767	9606.ENSP00000225964	0	0	0	0	0	0	0	0.510	0.510
ACP5	BLVRB	9606.ENSP00000468767	9606.ENSP00000263368	0	0	0	0	0.081	0	0.900	0	0.904
ACP5	CTNNB1	9606.ENSP00000468767	9606.ENSP00000344456	0	0	0	0	0	0	0	0.465	0.465
ACP5	TGFBR2	9606.ENSP00000468767	9606.ENSP00000351905	0	0	0	0	0.093	0.061	0	0.414	0.458
ACP5	RUNX2	9606.ENSP00000468767	9606.ENSP00000360493	0	0	0	0	0	0	0	0.720	0.720
ACP5	MMP9	9606.ENSP00000468767	9606.ENSP00000361405	0	0	0	0	0.214	0	0	0.681	0.738
ACP5	CPPED1	9606.ENSP00000468767	9606.ENSP00000371193	0	0	0	0	0.062	0	0	0.461	0.472
ACP5	TNF	9606.ENSP00000468767	9606.ENSP00000398698	0	0	0	0	0.109	0	0	0.594	0.622
ACVR1B	KRAS	9606.ENSP00000442656	9606.ENSP00000256078	0	0	0	0	0.064	0.140	0	0.338	0.420
